index,movie_id,movie_name,genres,overview,original_language
1,3,天堂孤影,"[{'id': 18, 'name': '剧情'}, {'id': 35, 'name': '喜剧'}]",環衛公司垃圾車駕駛員尼卡德（MattiPellonp鳵飾）的老同事計劃籌資組建自己的環衛公司，邀請尼卡德技術入股，但老同事不久急病突發身亡，尼卡德的生活重回一潭死水狀態。尼卡德心有不甘借酒滋事，在被拘留的時候結識日後的同事米卡拉。米卡拉偶而會不識趣的妨礙尼卡德暗地追求超市售貨員伊羅娜（KatiOutinen飾），但他仍是尼卡德最可依賴的朋友。伊羅娜為報復超市經理偷走了錢盒，尼卡德幫助她找到服裝店的新工作，服裝店經理夾到尼卡德與伊羅娜的關係中間，但尼卡德最終奪回了自己的愛人。本片獲1987年芬蘭電影尤西獎最佳影片獎。是導演郭立斯馬基無產階級三部曲的第一部。,fi
2,11,星際大戰四部曲：曙光乍現,"[{'id': 12, 'name': '冒险'}, {'id': 28, 'name': '动作'}, {'id': 878, 'name': '科幻'}]",遙遠星係發生叛亂，銀河共和國被推翻，奧爾德蘭星的莉亞公主（卡里•費甚爾CarrieFisher飾）領導抵抗組織對抗銀河帝國，卻不幸被銀河帝國的維德勳爵（大衛•普勞斯DavidProwse飾）所俘。機器人R2-D2攜銀河帝國新武器“死星”的結構圖與同伴翻譯機器人C-3PO逃至塔圖因星，途中被加瓦人抓住賣給青年盧克•天行者（馬克•哈米爾MarkHamill飾）的叔父。在盧克的幫助下，眾人陰錯陽差找到了隱居的絕地武士歐比-旺•肯諾比（亞歷克•吉尼斯AlecGuinness飾）。歐比-旺交給盧克絕地之道，並帶盧克與兩機器人到港口城市茅斯伊斯壘，僱傭走私者韓•索羅（哈里森•福特飾）的千年隼飛船前往奧爾德蘭……,en
3,12,海底總動員,"[{'id': 16, 'name': '动画'}, {'id': 10751, 'name': '家庭'}]",小丑魚馬林（Marlin）與配偶珊瑚（Coral）於大堡礁建立了家園，但一場梭子魚的攻擊使馬林失去了珊瑚與大部分卵子。馬林以珊瑚喜愛的名字尼莫（Nemo）為碩果僅存的卵子命名。尼莫的右鰭因在卵子時期中遭受攻擊而變得較小，對其游泳能力造成影響。馬林對兒子的過度保護使尼莫在上學首天感到不滿，賭氣游出了珊瑚礁並被一位潛水員捕捉帶走，該潛水員與同伴乘船離開時意外把其蛙鏡撞進了海中。,en
4,13,阿甘正傳,"[{'id': 35, 'name': '喜剧'}, {'id': 18, 'name': '剧情'}, {'id': 10749, 'name': '爱情'}]",二次大戰剛結束，阿甘出生在美國阿拉巴馬州的一個閉塞小鎮，他先天弱智，但上帝又賜予他一雙疾步如飛的飛毛腿和一副單純正直．不存半點邪念的頭腦。小鎮上的人都對阿甘另眼相待，只有兩位女性關心、愛護著他。母親給予他偉大的母愛，青梅竹馬的玩伴珍妮則以純真的少女情懷暖著他的心。在她們的愛護下，阿甘長大了。帶著對珍妮至死不渝的愛戀，踏上了極不平凡的人生旅程。阿甘經歷了整整三十幾年間美國幾乎所有重大事件，參與譜寫了五十年代至七十年代美國歷史上的一些重要篇章。他與當時幾位叱風雲的著名政治人物會過面，其中包括三位美國總統：甘迺迪、約翰遜、尼克森。還教“貓王”學跳舞。他既是一位越戰英雄，又是一位反戰英雄。在風起雲湧的民權運動中，他瓦解了一場一觸即發的大規模種族衝突，他甚至在無意中逼使潛入水門大廈的竊賊落入法網，最終導致尼克森垮台。作為乒乓外交的使者，他還到中國參加過乒乓比賽。透過阿甘的眼裡看到的是另一個世界，人生有如一盒巧克力，你永遠不知道你將會得到什麼。,en
5,14,美國心玫瑰情,"[{'id': 18, 'name': '剧情'}]",故事的主人翁賴斯特罕住在一個典型的美國小鎮裡，他面臨中年危機，突然對自己的生活感到不滿：和太太卡洛琳的性生活不協調，和女兒小珍的關係陷入冷戰，他在公司的職位岌岌可危。於是他急於尋求新的變化、新的刺激和新的人生。就在這個時候，他見到了小珍性感可愛的死黨好友安琪拉，於是他的人生從此改頭換面。首先，他決定先辭掉工作，並要脅老闆付他一大筆遣散費，然後再反抗一向對他頤指氣使的老婆，公然再她面前抱怨她的性冷感，然而卡洛琳也不是省油的燈，她開始跟一名房屋仲介大亨大搞婚外情，小珍也變得越來越孤僻，父女之間的感情越來越糟，這時隔壁搬來的新鄰居費茲一家，費家獨子是個特立獨行的怪胎，他的出現為班罕一家帶來爆炸性的變數......,en
6,15,大國民,"[{'id': 9648, 'name': '悬疑'}, {'id': 18, 'name': '剧情'}]",一九四一年的《大國民》乃公認電影一百年來的「最佳影片」，是導演奧森威爾斯的處女作。在本片之前，電影從未出現過倒述法，且是多重角度的倒述法。故事的主人翁報業大王查爾斯福斯特凱恩是個具爭議性的人物，「愛國者」、「民主主義者」、「和平主義者」、「戰爭販子」、「叛徒」、「理想主義者」……都是美國報紙對他的形容。片子一開始垂死的凱恩說了一個字就去世了，而這個謎樣的字「玫瑰花蕾」到底有什麼意義？記者湯姆遜奉命調查，透過他與五個死者的關係人──凱恩的監護人銀行家、報社總經理、凱恩的好友兼專欄作家、他的第二任太太、上都皇宮的管家及圖書管理員的訪談中，拼湊出凱恩在事業、感情、政治觀念和個人性格，可是他還是不了解「玫瑰花蕾」的意義。最後工人在清理凱恩的遺物時，才從燃燒的雪橇上浮現出「玫瑰花蕾」一字，原來，凱恩最後念念不忘的，不是什麼，而是他的童年…,en
7,16,在黑暗中漫舞,"[{'id': 18, 'name': '剧情'}, {'id': 80, 'name': '犯罪'}]",捷克女子莎瑪（碧玉飾）1964年帶著十二歲的兒子偷渡到美國，她在地下織品工廠做女工餬口，與琳達（凱薩琳丹妮芙飾）是同事，兩人有著相濡以沫的同事感情。莎瑪每天長時間努力工作，所有的積蓄及時間、精神所得來一點點的薪水，都放在治療兒子及和她即將失明的眼睛。現實生活是如此窘迫，莎瑪仍以積極樂觀的態度迎向面對生命的崎嶇，她常常幻想自己是個歌舞明星，站在舞台上享受著曼妙的旋律及跳著輕盈的舞步，唱著跳著，隨著節拍舞動，眼前的煩惱難關就暫時消失了。雖然歌舞明星的幻想可以帶給莎瑪快樂，甚至生命的動力，但現實畢竟是殘酷的，由於莎瑪沒有取得正式居留權，不時要躲避移民局的調查逮捕，更悲慘地是，一名面善心惡的警察鄰居偷了她的錢，情急之下，莎瑪將這名警察殺死，來自東歐移民弱勢族群的她，自此更跌入了黑暗的深淵……,en
8,18,第五元素,"[{'id': 12, 'name': '冒险'}, {'id': 14, 'name': '奇幻'}, {'id': 28, 'name': '动作'}, {'id': 53, 'name': '惊悚'}, {'id': 878, 'name': '科幻'}]",「你們人類造的每一樣東西都用在毀滅上。」一頭紅髮的謎樣女孩莉露（蜜拉喬娃維飾演），在實驗室中被複製出來，而此刻地球正面臨每五千年一次的浩劫，眾人相信她與消滅宇宙邪惡勢力的五種元素有所關聯，不知自己身在何處的莉露驚恐逃出實驗室，意外跌落在計程車司機柯本（布魯斯威利飾）的車裡，兩人躲避追逐後，決定聯手尋找元素之謎並對抗與邪惡勢力勾結的野心實業家佐格。《第五元素》據說本片的原始構想來自導演盧貝松16歲時所寫的少年小說。本片有號稱影史上特效花費最多的特效製作，而且有相當多歐洲電影及特效工作者參與，創造出與好萊塢風格不大相同的未來世界，是一部影迷必看的佳片！,en
9,19,大都會,"[{'id': 18, 'name': '剧情'}, {'id': 878, 'name': '科幻'}]",故事設置在2026年，電影完成的100年後，人類被分為兩個階層，生活在兩個截然不同的世界——權貴和富人都住在夢幻般的富麗大廈裡，每天過著享樂的生活；而貧窮的工薪階層則長期被困在幽暗的地下城市，與冰冷的機器相伴，過著勞碌辛苦的人生。,de
10,22,神鬼奇航：鬼盜船魔咒,"[{'id': 12, 'name': '冒险'}, {'id': 14, 'name': '奇幻'}, {'id': 28, 'name': '动作'}]",名門千金伊莉莎白（KeiraKnightley飾）不幸遭到惡名昭彰的海盜巴伯沙（GeoffreyRush飾）挾持，年輕的鐵匠威爾（OrlandoBloom飾）為拯救女友，不惜與追求寶藏利慾薰心的船長傑克（JohnnyDepp飾）合作，冒險前往海盜出沒的加勒比海域；不料這群海盜竟然是受到詛咒，到夜晚會化身骷髏僵屍的恐怖軍團，神秘的寶藏、詭譎的海域、神出鬼沒的鬼魅，讓這段汪洋旅途充滿了變數。加勒比海盜：黑珍珠號的詛咒，PiratesoftheCaribbean:TheCurseoftheBlackPearl，加勒比海盜1：黑珍珠號的詛咒,en
